Corporation,SDGs_round1,SDGs_round2,Source Name,Source,Source Type,Source Date,Source Author,Explicit or Implicit,Notes,Relevant Country,Project,Entryist Initials
Adobe,"4, 5, 8, 12, 13",,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,N/A,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,U.S.,,JET
ADP,"1,2,3,4,5,8,10,13",,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,N/A,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ","Zambia, Uganda, Swaziland, Belize, El Salvador, Haiti, U.S., Chile, India, Romania, Philippines",,JET
Alpha Software,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"I spent too long trying to look for corporate or social responsibility briefs. The company might be too small to focus on these topics, especially on an international scale.",N/A,,JET
Altum,2,,Community,https://www.altum.com/community-page/,Webpage,N/A,N/A,Implicit,They are foucsed more on their local community than the international community.,U.S.,,JET
Amazon Web Services,"7, 13, 14, 15",,AWS & Sustainability,https://aws.amazon.com/about-aws/sustainability/,Webpage,N/A,N/A,Implicit,"AWS is very into enviornmental sustainability and has supported numerous wind and solar farms. Their parent organization might be more committed to more goals, but I'm unsure if I should look at the parent organization (Amazon). ",U.S.,,JET
Arreva,N/A,,N/A,N/A,N/A,N/A,N/A,NA,The company is small and provides non-profits with software for fundraising and event planning. They do not have a sustainability branch or platform because they are small. ,N/A,,JET
Asana,10,,Real Talk: Fostering diversity and inclusion through honest conversations,https://blog.asana.com/2018/11/real-talk-event-series/,Blog,11/9/18,Allie Joel,Implicit,"It's still a start-up, so  don't think they have turned to social responsbility just yet. ",U.S.,,JET
Atlas Business Solutions,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"Seems to be a very local , domestic company.",N/A,,JET
Autodesk,"7, 13, 15",,Corporate Responsibility,https://www.autodesk.com/sustainability/business-operations,Webpage,N/A,N/A,Implicit,A webpage highlighting AutoDesk's commitment to green and renewable energy.,U.S.,,JET
Autodesk,"4, 11, 19",,Who We Support,http://www.autodesk.org/who-we-support/stories/water-for-people,Webpage,N/A,N/A,Implicit,"A webpage highlighting the company's major philanthrophic partners (Water for People and MASS Design Group). These organizations work international and Implicit support goals 4 and 11, respectively.","Honduras, Bolivia, India, Malawai, Zambia",,JET
Autodesk,"7,9,11,12",,Autodesk FY2018 Sustainability Report,https://damassets.autodesk.net/content/dam/autodesk/www/sustainability/docs/pdf/autodesk-fy2018-sustainability-report.pdf,PDF,2018,N/A,Explicit,"This source is a goldmine and shows explicit support for SDG 11! Basically, they provide software for engineering and architecture projects. Recognizing the rapid urbanization that is ocurring globally, they've committed their company to envrionmental and urban sustainability. Goal 11 seems to be very important to them and theu focus on the necessity of sustainable, resilient urban growth. ",U.S.,,JET
AvePoint,N/A,,N/A,N/A,N/A,N/A,N/A,NA,It's focused more on promoting and advertising its products.,N/A,,JET
Azavea,"11, 13",,Reflections from the UN World Data Forum ,https://www.azavea.com/blog/2018/11/09/reflections-from-the-un-world-data-forum/,Blog,"November 9th, 2018",Ross Bernet,Explicit,"This article wasn't so much saying that the company does support these goals, but that they should because they are uniquely positioned to support them. The company focuses on geospatial data, so deforestation and urban growth are of particular relevance to them. ",U.S.,,JET
Bitdefender,N/A,,N/A,N/A,N/A,N/A,N/A,NA,There isn't much about CSR. ,N/A,,JET
