,Corporation,SDG_fin,Source Name,Source,Source Type,Source Date,Source Author,Explicit or Implicit,Notes,Relevant Country,Project,Entryist Initials
0,Adobe,4,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,United States,,JET
1,Adobe,5,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,United States,,JET
2,Adobe,8,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,United States,,JET
3,Adobe,12,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,United States,,JET
4,Adobe,13,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,United States,,JET
5,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",Zambia,,JET
6,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",Uganda,,JET
7,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",Swaziland,,JET
8,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",Belize,,JET
9,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",El Salvador,,JET
10,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",Haiti,,JET
11,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",United States,,JET
12,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",Chile,,JET
13,ADP,1,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ",India,,JET
